kai'sa,Kai'Sa AP,domination,dark-harvest,taste-of-blood,eyeball-collection,ultimate-hunter,sorcery,manaflow-band,transcendence
kai'sa,Kai'Sa AD,domination,hail-of-blades,taste-of-blood,eyeball-collection,Ultimate-Hunter,inspiration,magical-footwear,biscuit-delivery
pyke,Pyke rune,domination,hail-of-blades,sudden-impact,eyeball-collection,ultimate-hunter,resolve,second-wind,unflinching
teemo,Burn Teemo,domination,dark-harvest,cheap-shot,eyeball-collection,ultimate-hunter,sorcery,absolute-focus,scorch
xerath,Xerath (Main),sorcery,arcane-comet,manaflow-band,absolute-focus,gathering-storm,inspiration,magical-footwear,minion-dematerializer
