aatrox,Aatrox,precision,lethal-tempo,triumph,legend-bloodline,cut-down,domination,zombie-ward,ultimate-hunter
bard,Bard,precision,fleet-footwork,triumph,legend-bloodline,cut-down,domination,taste-of-blood,ultimate-hunter
nilah,Nilah,precision,lethal-tempo,triumph,legend-alacrity,cut-down,sorcery,manaflow-band,scorch
olaf,Olaf,precision,lethal-tempo,triumph,legend-alacrity,coup-de-grace,resolve,bone-plating,overgrowth
xerath,Xerath (Main),sorcery,arcane-comet,manaflow-band,absolute-focus,gathering-storm,inspiration,magical-footwear,minion-dematerializer
